;runtime;n;model;perplexity;coherence;passes
n=5;819.5385928153992;5;LdaModel(num_terms=151108, num_topics=5, decay=0.5, chunksize=2000);-7.82883239331656;0.42031750802455886;25
n=10;1238.3387100696564;10;LdaModel(num_terms=151108, num_topics=10, decay=0.5, chunksize=2000);-7.760007157186104;0.4343876502481644;25
n=20;1657.2430562973022;20;LdaModel(num_terms=151108, num_topics=20, decay=0.5, chunksize=2000);-7.702406535650401;0.45120987878266455;25
n=30;1987.948098897934;30;LdaModel(num_terms=151108, num_topics=30, decay=0.5, chunksize=2000);-7.6652886339057895;0.4639776491752311;25
n=40;2819.77774643898;40;LdaModel(num_terms=151108, num_topics=40, decay=0.5, chunksize=2000);-7.645834006765713;0.460440968414214;25
n=50;2703.505396127701;50;LdaModel(num_terms=151108, num_topics=50, decay=0.5, chunksize=2000);-7.631740338974063;0.47079664769266527;25
n=60;3010.940106153488;60;LdaModel(num_terms=151108, num_topics=60, decay=0.5, chunksize=2000);-7.61632148894038;0.47146696419082107;25
